title,description,content,source,published_at,category
Xreal deals blow to Viture with patent victory and German sales ban,A German court just banned Viture's AR glasses in Europe for infringing on Xreal's patents.,"What you need to know
<ul><li>A German court ruled Viture’s AR hardware infringes Xreal’s optics patent, triggering a sales freeze.</li><li>The injunction targets Viture’s EU distributor, Eden Futur… [+3312 chars]",Android Central,2025-12-20T12:02:00Z,ecommerce_news
Over 1.5 lakh visitors attend Pune Book Festival over weekend,"The Pune Book Festival witnessed an overwhelming response in its first two days, attracting over 1.5 lakh visitors and recording book sales worth several crores at the Fergusson College grounds.","The Pune Book Festival drew an overwhelming response over its opening weekend, with more than 1.5 lakh visitors attending on Saturday and Sunday, and book sales running into several crores.Organised … [+2208 chars]",The Indian Express,2025-12-15T02:47:24Z,ecommerce_news
These powerful noise-cancelling earbuds are still 28% OFF after the Christmas sales,The Bose QuietComfort earbuds are the perfect pick for noise-cancelling enthusiasts.,"Holiday earbud deals are mostly coming to a close, though you can still find some lingering around if you know where to look. This year's leftover Christmas deals include 28% off the Bose QuietComfor… [+2341 chars]",Android Central,2025-12-29T16:58:57Z,ecommerce_news
Real Estate Newsletter Articles this Week: Existing-Home Sales Increased to 4.13 million SAAR,At the Calculated Risk Real Estate Newsletter this week:   Click on graph for larger image.   • NAR: Existing-Home Sales Increased to 4.13 m...,"At the Calculated Risk Real Estate Newsletter this week:

Click on graph for larger image.

• NAR: Existing-Home Sales Increased to 4.13 million SAAR in November

• Lawler: Another Strange NAR Readin… [+449 chars]",Calculatedriskblog.com,2025-12-20T19:11:00Z,ecommerce_news
Jackery and Anker Hosting New Year's Sales With Up to 65% Off,"Anyone shopping for portable power stations can find up to 65 percent off Anker and Jackery's best accessories this week. Each retailer is hosting a New Year's sale for its most popular charging accessories, with major savings on these high-priced power stati…",Anyone shopping for portable power stations can find up to 65 percent off Anker and Jackery's best accessories this week. Each retailer is hosting a New Year's sale for its most popular charging acce… [+2524 chars],MacRumors,2025-12-30T16:24:49Z,ecommerce_news
Chinese military stages drills around Taiwan to warn 'external forces',"The drills came after Beijing expressed anger at U.S. arms sales, and a statement by Japan's prime minister saying its military could get involved if China were to take action against Taiwan.","HONG KONG China's military on Monday dispatched air, navy and rocket troops to conduct joint military drills around the island of Taiwan, a move Beijing called a ""stern warning"" against separatist an… [+4714 chars]",NPR,2025-12-29T06:56:12Z,ecommerce_news
A Powerball player in Arkansas has won a $1.817 billion lottery jackpot,"Wednesday's Christmas Eve drawing ended the lottery game's three-month stretch without a top-prize winner. Final ticket sales pushed the jackpot higher, making it the second-largest in U.S. history.","A Powerball player in Arkansas won a $1.817 billion jackpot in Wednesday's Christmas Eve drawing, ending the lottery game's three-month stretch without a top-prize winner.
The winning numbers were 0… [+1683 chars]",NPR,2025-12-25T06:59:43Z,ecommerce_news
"AI's Hunger For Memory Chips Could Shrink Smartphone and PC Sales in 2026, IDC Says","The global smartphone and PC markets face potential contractions of up to 5.2% and 8.9% respectively in 2026, according to downside risk scenarios from IDC that trace the problem to memory chip manufacturers shifting production capacity away from consumer ele…","The global smartphone and PC markets face potential contractions of up to 5.2% and 8.9% respectively in 2026, according to downside risk scenarios from IDC that trace the problem to memory chip manuf… [+888 chars]",Slashdot.org,2025-12-26T14:05:00Z,ecommerce_news
Forget Audible and Amazon – I'm switching to these 5 alternatives for audiobooks and e-books in 2026,"Amazon and Audible aren't the only places to get the best e-books and audiobooks – in fact, these 5 alternatives will make you feel much warmer inside.","Like many people I'd like to spend my money more ethically, and as an author that's particularly true of buying books. Rather than contribute to Jeff Bezos's ""let's send Katy Perry slightly into orbi… [+5442 chars]",TechRadar,2025-12-28T11:00:00Z,ecommerce_news
Nvidia and Broadcom Executives Cash Out Millions in Stock Sales,Large insider sales spark investor caution as AI chip stocks rally into year-end.,"This article first appeared on GuruFocus.
Nvidia (NVDA, Financials) and Broadcom (AVGO, Financials) executives have sold off a lot of their shares. This makes people wonder how insiders feel about s… [+1043 chars]",Yahoo Entertainment,2025-12-23T15:05:18Z,ecommerce_news
Apple Is Gonna Have a Very Loaded 2026,"From a foldable iPhone to a ""HomePad"" smart home hub, Apple has a lot of new hardware coming soon.","Between the delay of the new AI-powered Siri, the apparent sales flop of the iPhone Air, and the exodus of high-level executiveswhether due to retirement or attritionApple had a turbulent 2025. You w… [+6080 chars]",Gizmodo.com,2025-12-12T16:20:34Z,ecommerce_news
"Schedule for Week of December 14, 2025",Special Note: There is still uncertainty on when some economic reports will be released. The key economic reports this week are the November...,"Special Note: There is still uncertainty on when some economic reports will be released.
The key economic reports this week are the November Employment report, October Retail Sales, November CPI, an… [+2296 chars]",Calculatedriskblog.com,2025-12-13T13:11:00Z,ecommerce_news
Tesla is recruiting factory workers and sales staff to operate its 'Robotaxi' service,Posters that appeared at Tesla's California factories and a review of LinkedIn profiles show how the automaker is scaling its ride-hailing service.,"Tesla secured a permit that allows the company to operate a ridehailing service with autonomous vehicles in Texas.Jay Janner/Austin American-Statesman via Getty Images
<ul><li>Tesla is recruiting fa… [+5600 chars]",Business Insider,2025-12-21T11:01:01Z,ecommerce_news
"Trump Just Promoted Charlie Kirk’s New Book — And He Could Profit From It, Too","“Stop, in the Name of God” by Charlie Kirk was released by Donald Trump Jr.’s publishing house, Winning Team Publishing.","""Stop, in the Name of God: Why Honoring the Sabbath Will Transform Your Life"" hit No. 1 on Amazon's frequently-updated list of the top 100 books on Wednesday after steadily rising in the ranking sinc… [+1571 chars]",Forbes,2025-12-10T16:28:55Z,ecommerce_news
Delete LinkedIn – you'll have zero fucking regrets,"I deleted LinkedIn this week.
I am enjoying a refreshing break from SEO and VA business development managers who want to connect in the name of synergy. From work/life coaches who “just want to ask me one question.” And from copy-paste cont","I deleted LinkedIn this week.
I am enjoying a refreshing break from SEO and VA business development managers who want to connect in the name of synergy. From work/life coaches who just want to ask m… [+5632 chars]",Medium,2025-12-28T19:13:04Z,ecommerce_news
Tesla Analysts Brace for a Decline in Vehicle Sales,,"If you click 'Accept all', we and our partners, including 244 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]",Yahoo Entertainment,2025-12-30T13:21:14Z,ecommerce_news
Polestar's quarterly EV sales jump as Europe pivot pays off,"STOCKHOLM, Jan 9 (Reuters) - EV maker Polestar reported a sharp rise in fourth‑quarter vehicle sales on Friday, helped by its recent strategy of focusing on ...","STOCKHOLM, Jan 9 (Reuters) - EV maker Polestar reported a sharp rise in fourthquarter vehicle sales on Friday, helped by its recent strategy of focusing on Europe.
The company's sales rose 27% to 15… [+1700 chars]",Yahoo Entertainment,2026-01-09T12:06:20Z,ecommerce_news
Xbox Just Set A Terrible New Record,"Also: what if Cyberpunk 2077 took even longer to get started?
The post Xbox Just Set A Terrible New Record appeared first on Kotaku.","Would Microsoft secretly be happier if people stopped buying the Xbox entirely? Would you risk breaking a $2,000 Samsung Galaxy Z Fold to chase a high score? And why was League of Legends unplayable … [+3356 chars]",Kotaku,2026-01-05T14:30:08Z,ecommerce_news
Costco Beats Q1 Earnings Estimates With 6.4% Comparable Sales Growth,"COST tops Q1 earnings estimates on 6.4% comp sales growth, strong membership gains and e-commerce momentum.","Costco Wholesale Corporation COST reported first-quarter fiscal 2026 results, wherein the top line fell short of the Zacks Consensus Estimate, while the bottom line beat the same. Nonetheless, both r… [+6139 chars]",Yahoo Entertainment,2025-12-12T12:36:00Z,ecommerce_news
Tesla Electric Vehicle Sales Decline 8.6% in 2025,"Tesla Inc. vehicle sales fell 8.6% last year, while fourth-quarter deliveries declined 16% to 418,227 vehicles. The figures drop the Elon Musk-led company...","Tesla Inc. vehicle sales fell 8.6% last year, while fourth-quarter deliveries declined 16% to 418,227 vehicles. The figures drop the Elon Musk-led company well behind China's BYD Co. in the global ra… [+69 chars]",Yahoo Entertainment,2026-01-02T14:48:07Z,ecommerce_news
"Chevron competes with rivals for Venezuelan oil sales, sources say",,"If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]",Yahoo Entertainment,2026-01-08T20:17:12Z,ecommerce_news
UK Sales Soar by 880% for Chinese EV Giant BYD,"On October 7, 2025, The BBC reported that Chinese automotive giant BYD announced that the UK has overtaken all other international markets to become its...","Image Credit: Oasishifi/Shutterstock.
On October 7, 2025, The BBC reported that Chinese automotive giant BYD announced that the UK has overtaken all other international markets to become its largest… [+6878 chars]",Guessingheadlights.com,2025-12-10T23:30:13Z,ecommerce_news
"Nvidia's Intel stake cleared by FTC, existing home sales rise",,"If you click 'Accept all', we and our partners, including 242 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]",Yahoo Entertainment,2025-12-19T18:11:57Z,ecommerce_news
"Lucid Bucks The EV Slowdown With Record Q4, 2025 Sales",,"If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]",Yahoo Entertainment,2026-01-05T18:04:30Z,ecommerce_news
TV makers are taking AI too far,"This is Lowpass by Janko Roettgers, a newsletter on the ever-evolving intersection of tech and entertainment, syndicated just for The Verge subscribers once a week. Every year, TV makers flock to CES in Las Vegas to show off bigger, brighter, and better-looki…","<ul><li></li><li></li><li></li></ul>
At CES 2026, AI is taking over the TV. It can be pretty obtrusive.
At CES 2026, AI is taking over the TV. It can be pretty obtrusive.
by
Janko RoettgersClose… [+7713 chars]",The Verge,2026-01-08T16:35:41Z,ecommerce_news
What do Christmas cracker jokes do to our brains?,Experts say cracker jokes are more about the sharing of a moment than the quality of the gag.,"Laurence Cawley,BBC London Investigations
The key to a good Christmas cracker joke is not whether it is funny but whether it can illicit groans around a dinner table, experts say
""How much did Sant… [+7071 chars]",BBC News,2025-12-23T01:56:40Z,ecommerce_news
Maxing out on tinsel: Why retro Christmas decorations are cool again,"People are embracing excess and nostalgia again with huge demand for bold designs from the past, experts say.","Peek the TV classic among the sea of retro paper chains and garlands
Tinsel, foil garlands, multi-coloured floral lights and a lounge that looks like Christmas threw up all over it are making a retu… [+6540 chars]",BBC News,2025-12-21T01:34:24Z,ecommerce_news
China is going after US defense firms and execs over weapons sales to Taiwan — and Palmer Luckey's on the list,China's foreign ministry said the sanctioned firms and individuals would have their assets within China frozen.,"China announced sanctions against 20 US defense companies and 10 senior executives on Friday, citing US arms sales to Taiwan as its motive.
In a statement, China's foreign ministry said their assets… [+2337 chars]",Business Insider,2025-12-26T14:15:12Z,ecommerce_news
Video Game Console Sales Just Flatlined Ahead Of The Holidays As Prices Soar,"Even with the Switch 2, November was a terrible month for new hardware
The post Video Game Console Sales Just Flatlined Ahead Of The Holidays As Prices Soar appeared first on Kotaku.","A new Nintendo console is on the market this Christmas for the first time in eight years, but that apparently wasn’t enough to juice overall hardware sales. According to the latest data, last month w… [+2335 chars]",Kotaku,2025-12-17T16:04:39Z,ecommerce_news
"Anker’s 24,000mAh Power Bank Hits Its First Record Low of the New Year After Skipping Holiday Sales","Having a charger that you can take everywhere with you is super useful.
The post Anker’s 24,000mAh Power Bank Hits Its First Record Low of the New Year After Skipping Holiday Sales appeared first on Kotaku.","You might find yourself using the Anker 737 Power Bank once and then wondering how you managed to live without it. The Anker 737 Power Bank is made for those who need to charge their phone, tablet, l… [+2132 chars]",Kotaku,2026-01-09T15:35:17Z,ecommerce_news
"Best Apple Deals of the Week: AirPods Pro 3 for $199, Plus Sitewide Sales at Samsung and Sonos","It's the last week before Christmas, which means that the holiday shopping season is quickly wrapping up. With this in mind, we're recapping all of the best last-minute deals you can find online this week, but be warned that guaranteed delivery by December 25…","It's the last week before Christmas, which means that the holiday shopping season is quickly wrapping up. With this in mind, we're recapping all of the best last-minute deals you can find online this… [+3717 chars]",MacRumors,2025-12-19T14:40:58Z,ecommerce_news
The 12 Best-Selling Sports Cars of All Time,"These 12 sports cars earned their fame not just through performance, but through massive global sales. From the Ford Mustang and Mazda Miata to the Porsche...","Some cars are fast. Others are famous. But only a few can claim a spot on the list of best-selling sports cars of all time. From timeless American muscle to lighthearted Japanese icons, these cars so… [+17427 chars]",Guessingheadlights.com,2025-12-13T14:30:42Z,ecommerce_news
EU yields to pressure from automakers as it rethinks 2035 combustion car ban,"BRUSSELS/LONDON/STOCKHOLM, Dec 15 () - The European Commission is expected on Tuesday to reverse the EU's effective ban on sales of new combustion-engine...","BRUSSELS/LONDON/STOCKHOLM, Dec 15 (Reuters) - The European Commission is expected on Tuesday to reverse the EU's effective ban on sales of new combustion-engine cars from 2035, bowing to intense pres… [+4343 chars]",Yahoo Entertainment,2025-12-15T12:12:24Z,ecommerce_news
What If the Next-Gen Chevy Blazer Went Full K5? This Rugged SUV Concept Could Change Everything,"Since 2020, sales of GM's combustion-powered Blazer have been in steady decline. Even the all-electric Blazer is a bit of a niche seller these days. Although...","Why Chevy Needs a True Off-Road Blazer Again
Since 2020, sales of GM's combustion-powered Blazer have been in steady decline. Even the all-electric Blazer is a bit of a niche seller these days. Alth… [+6067 chars]",Autoblog,2025-12-12T00:00:00Z,ecommerce_news
"Apparel, gift cards at the top of consumers' holiday lists: NRF",The National Retail Federation (NRF) has reported that retail sales in November have increased 4.5% year-over-year. NRF chief economist and executive...,"Is there a way of knowing how much of this spending is accounted for by the top third or decile even of Americans by income? 
Yeah, we've we've actually been working with uh, with our partners, uh A… [+3496 chars]",Yahoo Entertainment,2025-12-16T17:03:14Z,ecommerce_news
Pentagon says Lockheed Martin gets $328.5 million Taiwan military sale contract,"WASHINGTON, Dec 31 (Reuters) - The Pentagon said on Wednesday that Lockheed Martin was given a contract involving foreign military ​sales to Taiwan to meet...","By Kanishka Singh
WASHINGTON, Dec 31 (Reuters) - The Pentagon said on Wednesday that Lockheed Martin was given a contract involving foreign military sales to Taiwan to meet what Washington calls ""an… [+1754 chars]",Yahoo Entertainment,2025-12-31T22:53:09Z,ecommerce_news
"Here's what to know about the US announcing arms sale to Taiwan, and China's reaction","The eight arms sales agreements announced Wednesday cover 82 high-mobility artillery rocket systems, or HIMARS, and 420 Army Tactical Missile Systems, or...","The eight arms sales agreements announced Wednesday cover 82 high-mobility artillery rocket systems, or HIMARS, and 420 Army Tactical Missile Systems, or ATACMS similar to what the U.S. had been prov… [+246 chars]",Yahoo Entertainment,2025-12-18T12:00:40Z,ecommerce_news
China sanctions 20 US defense companies and 10 executives over massive arms sales to Taiwan,"Beijing imposed sanctions on Friday against 20 U.S. defense-related companies and 10 executives, a week after Washington annoucned large-scale arms sales to ...","BEIJING (AP) Beijing imposed sanctions on Friday against 20 U.S. defense-related companies and 10 executives, a week after Washington annoucned large-scale arms sales to Taiwan.
The sanctions entail… [+1927 chars]",Yahoo Entertainment,2025-12-26T11:27:29Z,ecommerce_news
"This Toyota pickup truck had a record sales year in 2025, here’s why it’s worth considering",The Toyota Tacoma midsize pickup truck had a stellar sales year in 2025. Here's why so many American drivers are picking the Tacoma instead of rivals.,Japanese automaker Toyota produces some of the most popular nameplates in America including models like the Toyota RAV4 and Toyota Camry. Pickup trucks may not be the first vehicle class most people … [+3241 chars],Tennessean,2026-01-08T11:04:53Z,ecommerce_news
Cosmetics chain closing more stores after Chapter 11 bankruptcy,The beauty industry has struggled with its balance between retail stores and digital sales. It's a market in which brick-and-mortar locations are essential...,"The beauty industry has struggled with its balance between retail stores and digital sales. It's a market in which brick-and-mortar locations are essential to the original sale.
If I, for example, w… [+5305 chars]",TheStreet,2025-12-13T17:03:00Z,ecommerce_news
US announces massive package of arms sales to Taiwan valued at more than $10 billion,The Trump administration has announced a massive package of arms sales to Taiwan valued at more than $10 billion that includes medium-range missiles...,"WASHINGTON (AP) The Trump administration has announced a massive package of arms sales to Taiwan valued at more than $10 billion that includes medium-range missiles, howitzers and drones, a move that… [+2686 chars]",Yahoo Entertainment,2025-12-18T02:47:15Z,ecommerce_news
China sanctions 20 US defense companies and 10 executives over massive arms sales to Taiwan,"Beijing imposed sanctions on Friday against 20 U.S. defense-related companies and 10 executives, a week after Washington annoucned large-scale arms sales to ...","BEIJING (AP) Beijing imposed sanctions on Friday against 20 U.S. defense-related companies and 10 executives, a week after Washington annoucned large-scale arms sales to Taiwan.
The sanctions entail… [+1927 chars]",Yahoo Entertainment,2025-12-26T11:27:29Z,ecommerce_news
Retail sales unchanged in October: What it shows about US consumer,"US retail sales remain largely unchanged in the month of October, according to the latest data out from the US Department of Commerce, as figures rose by 0% ...","The market is trying to make sense of all of this. In the meantime, Brooke, we're seeing stocks kind of initially went higher, now we're seeing them go a little lower. What stands out to you? 
If yo… [+2953 chars]",Yahoo Entertainment,2025-12-16T14:27:56Z,ecommerce_news
"Mercedes Is Suing After a $600,000 G-Wagen Disappeared During Delivery","A Mercedes-AMG G 63 carrying a sales price of just under $600,000 just disappeared somewhere between a New York dealership and a Nevada driveway. While most ...","A Mercedes-AMG G 63 carrying a sales price of just under $600,000 just disappeared somewhere between a New York dealership and a Nevada driveway. While most legal battles in the auto world involve dr… [+3202 chars]",Autoblog,2026-01-08T13:45:00Z,ecommerce_news
From Thin to Folded: How Phone-Makers Are Signaling Innovation Again,Get ready for more sleek phones in 2026 as companies compete for attention -- and dollars.,"I've observed an interesting disconnect this year. At every mobile event, the biggest crowds swarm around the slimmest phones, from Apple's iPhone Air to Samsung's Galaxy S25 Edge. When I pull one of… [+6535 chars]",CNET,2025-12-17T13:00:00Z,ecommerce_news
"The Rise of Computer Games, Part II: Digitizing Nerddom","In the late 1960s and early 1970s, one could participate in a variety of (mostly novel) hobbies that all asked “what-if”: reading and watching science fiction (especially Star Trek), reading the wr…","In the late 1960s and early 1970s, one could participate in a variety of (mostly novel) hobbies that all asked what-if: reading and watching science fiction (especially Star Trek), reading the writin… [+33399 chars]",Technicshistory.com,2026-01-05T13:18:26Z,ecommerce_news
"EV Makers Could Struggle in 2026, but Jeff Bezos Might Have a Great 2027","For the auto industry, reality is about to set in.","Automakers and buyers will be resetting their expectations and plans in the electric vehicle market in the U.S. in 2026. While some large companies have made quick decisions to cut slow-selling, much… [+9372 chars]",Gizmodo.com,2026-01-03T12:00:53Z,ecommerce_news
